page_url,query,clicks_current,clicks_previous,impressions,avg_position,sessions,conversions,revenue,ctr,conversion_rate,traffic_decay_pct,recommended_action
https://mysite.com/blog/page-1,keyword choice 1,910,5907,88455,17.480949496728677,659,34,281.52,0.0103,0.0516,-0.8459,Urgent Content Refresh (Traffic Decay)
https://mysite.com/blog/page-2,keyword choice 2,3822,864,64734,3.716568267014682,3772,80,594.09,0.059,0.0212,3.4236,Monitor / Maintain
https://mysite.com/blog/page-3,keyword choice 3,3142,2791,71467,11.663758288723573,4683,89,587.63,0.044,0.019,0.1258,Optimize Metadata / On-Page (Striking Distance)
https://mysite.com/blog/page-4,keyword choice 4,516,2833,53662,8.690868662770038,7504,7,3246.05,0.0096,0.0009,-0.8179,Urgent Content Refresh (Traffic Decay)
https://mysite.com/blog/page-5,keyword choice 5,4476,1630,99506,8.075699657993423,5092,92,3730.22,0.045,0.0181,1.746,Optimize Metadata / On-Page (Striking Distance)
https://mysite.com/blog/page-6,keyword choice 6,3494,5116,13688,29.217306087820923,3443,89,2916.84,0.2553,0.0258,-0.317,Urgent Content Refresh (Traffic Decay)
https://mysite.com/blog/page-7,keyword choice 7,3221,5641,26342,12.399834015336053,5408,114,4810.86,0.1223,0.0211,-0.429,Urgent Content Refresh (Traffic Decay)
https://mysite.com/blog/page-8,keyword choice 8,2969,2750,38157,26.869350100136284,4170,104,1874.35,0.0778,0.0249,0.0796,Monitor / Maintain
https://mysite.com/blog/page-9,keyword choice 9,180,3900,68863,19.303020153920624,4899,134,1428.56,0.0026,0.0274,-0.9538,Urgent Content Refresh (Traffic Decay)
https://mysite.com/blog/page-10,keyword choice 10,1735,1088,53083,24.049527802707804,1570,57,4343.0,0.0327,0.0363,0.5947,Monitor / Maintain
https://mysite.com/blog/page-11,keyword choice 11,819,562,66733,15.57647570005057,680,113,1117.98,0.0123,0.1662,0.4573,Monitor / Maintain
https://mysite.com/blog/page-12,keyword choice 12,2441,4553,90045,17.730212654164415,7033,74,4816.11,0.0271,0.0105,-0.4639,Urgent Content Refresh (Traffic Decay)
https://mysite.com/blog/page-13,keyword choice 13,2483,930,35698,15.283013120747054,7104,119,60.77,0.0696,0.0168,1.6699,Monitor / Maintain
https://mysite.com/blog/page-14,keyword choice 14,1234,4548,81623,6.66204664614329,2394,20,4849.39,0.0151,0.0084,-0.7287,Urgent Content Refresh (Traffic Decay)
https://mysite.com/blog/page-15,keyword choice 15,4605,266,23671,21.95111134258365,3247,137,215.8,0.1945,0.0422,16.312,Monitor / Maintain
https://mysite.com/blog/page-16,keyword choice 16,3435,5194,26184,9.14239851078482,4349,100,4455.72,0.1312,0.023,-0.3387,Urgent Content Refresh (Traffic Decay)
https://mysite.com/blog/page-17,keyword choice 17,4167,1544,94384,1.7051630265121611,1779,98,2638.51,0.0441,0.0551,1.6988,Monitor / Maintain
https://mysite.com/blog/page-18,keyword choice 18,4893,923,43107,19.718696581307867,3606,35,4964.82,0.1135,0.0097,4.3012,Fix UX / CRO Opportunity
https://mysite.com/blog/page-19,keyword choice 19,2954,2850,87202,6.136209702804419,5192,95,368.98,0.0339,0.0183,0.0365,Monitor / Maintain
https://mysite.com/blog/page-20,keyword choice 20,524,623,52663,28.273298946234515,7353,36,2769.27,0.01,0.0049,-0.1589,Urgent Content Refresh (Traffic Decay)
https://mysite.com/blog/page-21,keyword choice 21,1132,5176,16708,28.663928733075032,2844,11,4846.51,0.0678,0.0039,-0.7813,Urgent Content Refresh (Traffic Decay)
https://mysite.com/blog/page-22,keyword choice 22,2608,4251,92906,27.53106731639301,3456,112,2615.49,0.0281,0.0324,-0.3865,Urgent Content Refresh (Traffic Decay)
https://mysite.com/blog/page-23,keyword choice 23,2097,1817,50811,11.734602307407888,4145,12,3146.99,0.0413,0.0029,0.1541,Optimize Metadata / On-Page (Striking Distance)
https://mysite.com/blog/page-24,keyword choice 24,2797,1738,3811,1.4482418793371554,1343,22,3478.74,0.7339,0.0164,0.6093,Monitor / Maintain
https://mysite.com/blog/page-25,keyword choice 25,1025,3302,57250,27.92123831504404,5288,98,2272.71,0.0179,0.0185,-0.6896,Urgent Content Refresh (Traffic Decay)
https://mysite.com/blog/page-26,keyword choice 26,1856,4696,73082,13.417340301202117,3218,104,3137.79,0.0254,0.0323,-0.6048,Urgent Content Refresh (Traffic Decay)
https://mysite.com/blog/page-27,keyword choice 27,239,1119,35754,29.032989752266417,5204,29,2921.57,0.0067,0.0056,-0.7864,Urgent Content Refresh (Traffic Decay)
https://mysite.com/blog/page-28,keyword choice 28,2784,5339,96742,28.94497933558833,2241,16,4505.79,0.0288,0.0071,-0.4786,Urgent Content Refresh (Traffic Decay)
https://mysite.com/blog/page-29,keyword choice 29,3055,1782,12411,25.73727420855344,5969,112,227.23,0.2462,0.0188,0.7144,Monitor / Maintain
https://mysite.com/blog/page-30,keyword choice 30,4708,3374,3911,9.539017870017984,5153,61,1404.82,1.2038,0.0118,0.3954,Optimize Metadata / On-Page (Striking Distance)
https://mysite.com/blog/page-31,keyword choice 31,1949,3217,68270,12.167834129455832,3159,83,4752.06,0.0285,0.0263,-0.3942,Urgent Content Refresh (Traffic Decay)
https://mysite.com/blog/page-32,keyword choice 32,1317,5975,84763,25.68296347398885,4648,111,4451.32,0.0155,0.0239,-0.7796,Urgent Content Refresh (Traffic Decay)
https://mysite.com/blog/page-33,keyword choice 33,1578,2685,9680,10.190738149532052,5423,85,2278.28,0.163,0.0157,-0.4123,Urgent Content Refresh (Traffic Decay)
https://mysite.com/blog/page-34,keyword choice 34,3252,2789,85896,5.915289653896682,3059,140,3100.66,0.0379,0.0458,0.166,Monitor / Maintain
https://mysite.com/blog/page-35,keyword choice 35,3606,1657,84879,17.147236611292154,2365,18,1386.91,0.0425,0.0076,1.1762,Fix UX / CRO Opportunity
https://mysite.com/blog/page-36,keyword choice 36,3940,3120,72295,28.148488450662647,6717,99,940.61,0.0545,0.0147,0.2628,Monitor / Maintain
https://mysite.com/blog/page-37,keyword choice 37,696,2753,89614,21.184864103574217,2579,139,2318.49,0.0078,0.0539,-0.7472,Urgent Content Refresh (Traffic Decay)
https://mysite.com/blog/page-38,keyword choice 38,2938,4951,12111,17.531773932591584,6584,146,1766.76,0.2426,0.0222,-0.4066,Urgent Content Refresh (Traffic Decay)
https://mysite.com/blog/page-39,keyword choice 39,2485,5207,38504,3.818118319352288,4746,75,2918.28,0.0645,0.0158,-0.5228,Urgent Content Refresh (Traffic Decay)
https://mysite.com/blog/page-40,keyword choice 40,650,5799,2802,18.83520957427592,1735,8,388.67,0.232,0.0046,-0.8879,Urgent Content Refresh (Traffic Decay)
https://mysite.com/blog/page-41,keyword choice 41,2413,3687,9155,29.71156165302364,5508,27,4871.97,0.2636,0.0049,-0.3455,Urgent Content Refresh (Traffic Decay)
https://mysite.com/blog/page-42,keyword choice 42,2111,1423,74656,5.062436441859197,7521,127,4931.05,0.0283,0.0169,0.4835,Monitor / Maintain
https://mysite.com/blog/page-43,keyword choice 43,291,2041,40384,16.031559918548368,1857,51,3490.81,0.0072,0.0275,-0.8574,Urgent Content Refresh (Traffic Decay)
https://mysite.com/blog/page-44,keyword choice 44,2091,5510,48254,26.443819085910707,4552,82,2680.48,0.0433,0.018,-0.6205,Urgent Content Refresh (Traffic Decay)
https://mysite.com/blog/page-45,keyword choice 45,2874,1723,22918,22.482289914871927,2170,110,1547.64,0.1254,0.0507,0.668,Monitor / Maintain
